congress,nomination_number,citation,source,source_year,source_month,nomination_date,latest_action_date,latest_action_text,nominee,position_title,organization,description,court
118,2012,PN2012,congress.gov_api,2025,7,2024-07-31,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"James Graham Lake, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for a term of fifteen years, vice Jennifer M. Anderson, retired.",
118,2013,PN2013,congress.gov_api,2025,7,2024-07-31,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"Nicholas George Miranda, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Rupa Ranga Puttagunta, resigned.",
118,814,PN814,congress.gov_api,2025,7,2023-07-11,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Judge of the United States Court of International Trade,The Judiciary,"Lisa W. Wang, of the District of Columbia, to be a Judge of the United States Court of International Trade, vice Leo Maury Gordon, retired.",
118,771,PN771,congress.gov_api,2025,7,2023-06-08,2023-12-14,Confirmed by the Senate by Yea-Nay Vote. 64 - 22. Record Vote Number: 346.,,United States District Judge for the Eastern District of Louisiana,The Judiciary,"Brandon S. Long, of Louisiana, to be United States District Judge for the Eastern District of Louisiana, vice Martin L. C. Feldman, deceased.",LA-E
118,769,PN769,congress.gov_api,2025,7,2023-06-08,2023-12-14,Confirmed by the Senate by Yea-Nay Vote. 66 - 24. Record Vote Number: 345.,,United States District Judge for the Western District of Louisiana,The Judiciary,"Jerry Edwards, Jr., of Louisiana, to be United States District Judge for the Western District of Louisiana, vice Michael Joseph Juneau, retired.",LA-W
118,770,PN770,congress.gov_api,2025,7,2023-06-08,2023-09-21,Confirmed by the Senate by Voice Vote.,,Judge of the United States Court of Federal Claims,The Judiciary,"Philip S. Hadji, of the District of Columbia, to be a Judge of the United States Court of Federal Claims for a term of fifteen years, vice Lydia Kay Griggsby, elevated.",
118,811,PN811,congress.gov_api,2025,7,2023-07-11,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Judge of the United States Court of International Trade,The Judiciary,"Joseph Albert Laroski, Jr., of Maryland, to be a Judge of the United States Court of International Trade, vice Timothy C. Stanceu, retired.",
118,817,PN817,congress.gov_api,2025,7,2023-07-11,2023-11-28,Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 317.,,United States District Judge for the Southern District of New York,The Judiciary,"Margaret M. Garnett, of New York, to be United States District Judge for the Southern District of New York, vice Vincent L. Briccetti, retired.",NY-S
118,816,PN816,congress.gov_api,2025,7,2023-07-11,2024-01-31,Confirmed by the Senate by Yea-Nay Vote. 50 - 49. Record Vote Number: 28.,,United States District Judge for the Middle District of Pennsylvania,The Judiciary,"Karoline Mehalchick, of Pennsylvania, to be United States District Judge for the Middle District of Pennsylvania, vice John E. Jones III, retired.",PA-M
118,452,PN452,congress.gov_api,2025,7,2023-03-21,2023-10-31,Confirmed by the Senate by Yea-Nay Vote. 55 - 42. Record Vote Number: 274.,,United States District Judge for the District of Maryland,The Judiciary,"Matthew James Maddox, of Maryland, to be United States District Judge for the District of Maryland, vice Paul William Grimm, retired.",MD-None
